Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q8IVF2	AHNAK2	-2.07028306724778	1.8548228190989298e-43	No	No
Q8IVW6	ARID3B	-1.10871421980644	1.13107877943664e-09	No	No
Q8IXK2	GALNT12	-2.70608655783258	3.46259284573083e-06	No	No
Q8IXU6	SLC35F2	-1.18066852660556	2.03338069324464e-12	No	No
Q8IY82	DRC7	-1.43090211004321	7.2787532969729e-07	No	No
Q8IYS0	GRAMD1C	-1.30459058037178	1.28575417963467e-05	No	No
Q8IZQ5	SELENOH	-1.51073194773475	1.3129540987489802e-25	No	No
Q8N1Q1	CA13	-1.07880546303033	3.56666569620585e-07	No	No
Q8N490	PNKD	-1.23338107442508	2.8978569599925904e-17	No	No
Q8N5V2	NGEF	-1.50953277179815	2.73094245760405e-07	No	No
Q8N8A2	ANKRD44	-1.23530274445951	2.77862652548322e-15	No	No
Q8N8Z6	DCBLD1	-1.06222586616329	0.0002596419021177	No	No
Q8N9F7	GDPD1	-1.11162953702523	1.98234139143307e-22	No	No
Q8NBQ7	AQP11	-1.57207627524828	4.54356810080785e-07	No	No
Q8NBW4	SLC38A9	-1.21889386335728	2.38189906719867e-16	No	No
Q8NFW9	MYRIP	-1.16505784597522	0.0004020215072263	No	No
Q8NG08	HELB	-1.7023195132063	1.7353771077403e-06	No	No
Q8TD06	AGR3	-1.11036804044946	1.58226005203395e-22	No	No
Q8TDN7	ACER1	-1.21094754290338	3.66983640128106e-05	No	No
Q8TF71	SLC16A10	-1.11505015878007	0.0005888333458208	No	No
Q8WVV4	POF1B	-2.52290486144097	6.14129934109533e-23	No	No
Q8WW22	DNAJA4	-1.20745857898525	3.43283688387307e-28	No	No
Q8WW43	APH1B	-1.13860180539196	1.77743495956819e-08	No	No
Q92478	CLEC2B	-1.74199943250177	0.0022667077191838	No	No
Q95460	MR1	-1.29107911164702	5.5371963271474e-08	No	No
Q96A54	ADIPOR1	-1.39721697655904	2.63784437165096e-18	No	No
Q96AP7	ESAM	-1.79579321674442	0.0003405143644606	No	No
Q96CP7	TLCD1	-1.00991985070971	2.63903493229414e-10	No	No
